"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"03.01.2021 02:45 - 03.01.2021 03:00","0","0","n/e","90","90","n/e","102","102","n/e"
"03.01.2021 03:00 - 03.01.2021 03:15","0","0","n/e","89","89","n/e","107","107","n/e"
"03.01.2021 03:15 - 03.01.2021 03:30","0","0","n/e","87","87","n/e","114","114","n/e"
"03.01.2021 03:30 - 03.01.2021 03:45","0","0","n/e","85","85","n/e","124","124","n/e"
"03.01.2021 03:45 - 03.01.2021 04:00","0","0","n/e","82","82","n/e","130","130","n/e"
"03.01.2021 04:00 - 03.01.2021 04:15","0","0","n/e","80","80","n/e","138","138","n/e"
"03.01.2021 04:15 - 03.01.2021 04:30","0","0","n/e","82","82","n/e","144","144","n/e"
"03.01.2021 04:30 - 03.01.2021 04:45","0","0","n/e","88","88","n/e","148","148","n/e"
"03.01.2021 04:45 - 03.01.2021 05:00","0","0","n/e","94","94","n/e","154","154","n/e"
"03.01.2021 05:00 - 03.01.2021 05:15","0","0","n/e","100","100","n/e","157","157","n/e"
"03.01.2021 05:15 - 03.01.2021 05:30","0","0","n/e","106","106","n/e","164","164","n/e"
"03.01.2021 05:30 - 03.01.2021 05:45","0","0","n/e","113","113","n/e","172","172","n/e"
"03.01.2021 05:45 - 03.01.2021 06:00","0","0","n/e","119","119","n/e","179","179","n/e"
"03.01.2021 06:00 - 03.01.2021 06:15","0","0","n/e","125","125","n/e","189","189","n/e"
"03.01.2021 06:15 - 03.01.2021 06:30","0","0","n/e","133","133","n/e","202","202","n/e"
"03.01.2021 06:30 - 03.01.2021 06:45","0","0","n/e","142","142","n/e","219","219","n/e"
"03.01.2021 06:45 - 03.01.2021 07:00","0","0","n/e","151","151","n/e","239","239","n/e"
"03.01.2021 07:00 - 03.01.2021 07:15","0","0","n/e","161","161","n/e","257","257","n/e"
"03.01.2021 07:15 - 03.01.2021 07:30","0","0","n/e","171","171","n/e","268","268","n/e"
"03.01.2021 07:30 - 03.01.2021 07:45","0","0","n/e","184","184","n/e","272","272","n/e"
"03.01.2021 07:45 - 03.01.2021 08:00","0","0","n/e","196","196","n/e","274","274","n/e"
"03.01.2021 08:00 - 03.01.2021 08:15","0","0","n/e","209","209","n/e","278","278","n/e"
"03.01.2021 08:15 - 03.01.2021 08:30","49","49","n/e","217","217","n/e","287","287","n/e"
"03.01.2021 08:30 - 03.01.2021 08:45","97","97","n/e","220","220","n/e","305","305","n/e"
"03.01.2021 08:45 - 03.01.2021 09:00","146","146","n/e","223","223","n/e","325","325","n/e"
"03.01.2021 09:00 - 03.01.2021 09:15","193","193","n/e","226","226","n/e","342","342","n/e"
"03.01.2021 09:15 - 03.01.2021 09:30","256","256","n/e","228","228","n/e","369","369","n/e"
"03.01.2021 09:30 - 03.01.2021 09:45","319","319","n/e","230","230","n/e","404","404","n/e"
"03.01.2021 09:45 - 03.01.2021 10:00","381","381","n/e","232","232","n/e","441","441","n/e"
"03.01.2021 10:00 - 03.01.2021 10:15","442","442","n/e","233","233","n/e","477","477","n/e"
"03.01.2021 10:15 - 03.01.2021 10:30","491","491","n/e","236","236","n/e","520","520","n/e"
"03.01.2021 10:30 - 03.01.2021 10:45","536","536","n/e","240","240","n/e","563","563","n/e"
"03.01.2021 10:45 - 03.01.2021 11:00","585","585","n/e","245","245","n/e","608","608","n/e"
"03.01.2021 11:00 - 03.01.2021 11:15","633","633","n/e","249","249","n/e","653","653","n/e"
"03.01.2021 11:15 - 03.01.2021 11:30","661","661","n/e","264","264","n/e","702","702","n/e"
"03.01.2021 11:30 - 03.01.2021 11:45","690","690","n/e","291","291","n/e","759","759","n/e"
"03.01.2021 11:45 - 03.01.2021 12:00","718","718","n/e","318","318","n/e","814","814","n/e"
"03.01.2021 12:00 - 03.01.2021 12:15","744","744","n/e","345","345","n/e","866","866","n/e"
"03.01.2021 12:15 - 03.01.2021 12:30","722","722","n/e","374","374","n/e","916","916","n/e"
"03.01.2021 12:30 - 03.01.2021 12:45","698","698","n/e","406","406","n/e","955","955","n/e"
"03.01.2021 12:45 - 03.01.2021 13:00","673","673","n/e","438","438","n/e","999","999","n/e"
"03.01.2021 13:00 - 03.01.2021 13:15","649","649","n/e","470","470","n/e","1041","1041","n/e"
"03.01.2021 13:15 - 03.01.2021 13:30","595","595","n/e","498","498","n/e","1067","1067","n/e"
"03.01.2021 13:30 - 03.01.2021 13:45","539","539","n/e","520","520","n/e","1087","1087","n/e"
"03.01.2021 13:45 - 03.01.2021 14:00","484","484","n/e","543","543","n/e","1105","1105","n/e"
